base_seed,attempt,seed,prompt,image,total_score,alignment_score,requirements_score,usability_score,failed_requirements,requirement_frog_subject,requirement_driving_relation
13,1,13,"a green frog driving a car, holding the steering wheel, cinematic photograph",experiments/current/evaluator_retry/rare_driving_frog_evaluator_retry/attempts/base_13_attempt_1.png,0.678187598871688,0.6882308721542358,0.6649739940961202,0.698798643797636,"['frog_subject', 'driving_relation']",0.6399507522583008,0.6828477382659912
13,2,1022,"a green frog driving a car, holding the steering wheel, cinematic photograph. Clearly show: a green frog is the main subject; the frog is inside a car, holding the steering wheel and actively driving. accurate subject-attribute-relation binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_driving_frog_evaluator_retry/attempts/base_13_attempt_2.png,0.6855431384344896,0.6999497413635254,0.6707070718208948,0.7013812869787215,"['frog_subject', 'driving_relation']",0.6454495191574097,0.6887481808662415
13,3,2031,"a green frog driving a car, holding the steering wheel, cinematic photograph. Clearly show: a green frog is the main subject; the frog is inside a car, holding the steering wheel and actively driving. accurate subject-attribute-relation binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_driving_frog_evaluator_retry/attempts/base_13_attempt_3.png,0.6812658407042423,0.6848093867301941,0.6674708922704061,0.7189807280898094,"['frog_subject', 'driving_relation']",0.6532201766967773,0.677649974822998
13,4,3040,"a green frog driving a car, holding the steering wheel, cinematic photograph. Clearly show: a green frog is the main subject; the frog is inside a car, holding the steering wheel and actively driving. accurate subject-attribute-relation binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_driving_frog_evaluator_retry/attempts/base_13_attempt_4.png,0.6876616234208146,0.6961009502410889,0.6722966780265172,0.7191863454878331,"['frog_subject', 'driving_relation']",0.6514558792114258,0.6871829628944397
29,1,29,"a green frog driving a car, holding the steering wheel, cinematic photograph",experiments/current/evaluator_retry/rare_driving_frog_evaluator_retry/attempts/base_29_attempt_1.png,0.6769463130955894,0.6908717155456543,0.667812834183375,0.6748986370861529,"['frog_subject', 'driving_relation']",0.6470792293548584,0.6826225519180298
29,2,1038,"a green frog driving a car, holding the steering wheel, cinematic photograph. Clearly show: a green frog is the main subject; the frog is inside a car, holding the steering wheel and actively driving. accurate subject-attribute-relation binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_driving_frog_evaluator_retry/attempts/base_29_attempt_2.png,0.6807272322972615,0.6778175830841064,0.666254902879397,0.7357575118541717,"['frog_subject', 'driving_relation']",0.6534801125526428,0.675379753112793
29,3,2047,"a green frog driving a car, holding the steering wheel, cinematic photograph. Clearly show: a green frog is the main subject; the frog is inside a car, holding the steering wheel and actively driving. accurate subject-attribute-relation binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_driving_frog_evaluator_retry/attempts/base_29_attempt_3.png,0.6845880330353975,0.6951072216033936,0.666087418794632,0.7217119738459588,"['frog_subject', 'driving_relation']",0.6405300498008728,0.6843426823616028
29,4,3056,"a green frog driving a car, holding the steering wheel, cinematic photograph. Clearly show: a green frog is the main subject; the frog is inside a car, holding the steering wheel and actively driving. accurate subject-attribute-relation binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_driving_frog_evaluator_retry/attempts/base_29_attempt_4.png,0.684713547018667,0.6963483095169067,0.673070232073466,0.6963768176734447,"['frog_subject', 'driving_relation']",0.6522859334945679,0.6879161596298218
47,1,47,"a green frog driving a car, holding the steering wheel, cinematic photograph",experiments/current/evaluator_retry/rare_driving_frog_evaluator_retry/attempts/base_47_attempt_1.png,0.6773703695212802,0.698522686958313,0.6627089927593868,0.6768862180411817,"['frog_subject', 'driving_relation']",0.6388627290725708,0.6797420382499695
47,2,1056,"a green frog driving a car, holding the steering wheel, cinematic photograph. Clearly show: a green frog is the main subject; the frog is inside a car, holding the steering wheel and actively driving. accurate subject-attribute-relation binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_driving_frog_evaluator_retry/attempts/base_47_attempt_2.png,0.6774033980319897,0.6902080774307251,0.6640280683835348,0.6921102449297905,"['frog_subject', 'driving_relation']",0.642574667930603,0.6793519258499146
47,3,2065,"a green frog driving a car, holding the steering wheel, cinematic photograph. Clearly show: a green frog is the main subject; the frog is inside a car, holding the steering wheel and actively driving. accurate subject-attribute-relation binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_driving_frog_evaluator_retry/attempts/base_47_attempt_3.png,0.6880666740238667,0.7017555832862854,0.6706865578889847,0.7140596061944962,"['frog_subject', 'driving_relation']",0.6427116394042969,0.6906686425209045
47,4,3074,"a green frog driving a car, holding the steering wheel, cinematic photograph. Clearly show: a green frog is the main subject; the frog is inside a car, holding the steering wheel and actively driving. accurate subject-attribute-relation binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_driving_frog_evaluator_retry/attempts/base_47_attempt_4.png,0.6771984761332472,0.6953687071800232,0.6663846174875895,0.6708474658429622,"['frog_subject', 'driving_relation']",0.6432346105575562,0.6829203367233276
71,1,71,"a green frog driving a car, holding the steering wheel, cinematic photograph",experiments/current/evaluator_retry/rare_driving_frog_evaluator_retry/attempts/base_71_attempt_1.png,0.6867743760719895,0.694456934928894,0.6765829622745514,0.7028197847306729,"['frog_subject', 'driving_relation']",0.6592976450920105,0.6889296174049377
71,2,1080,"a green frog driving a car, holding the steering wheel, cinematic photograph. Clearly show: a green frog is the main subject; the frog is inside a car, holding the steering wheel and actively driving. accurate subject-attribute-relation binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_driving_frog_evaluator_retry/attempts/base_71_attempt_2.png,0.6790368035559853,0.6918520927429199,0.667029599348704,0.6891584761440754,"['frog_subject', 'driving_relation']",0.6423183083534241,0.6846805214881897
71,3,2089,"a green frog driving a car, holding the steering wheel, cinematic photograph. Clearly show: a green frog is the main subject; the frog is inside a car, holding the steering wheel and actively driving. accurate subject-attribute-relation binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_driving_frog_evaluator_retry/attempts/base_71_attempt_3.png,0.6682566383356848,0.6913672089576721,0.669068564971288,0.6116255514323712,"['frog_subject', 'driving_relation']",0.6550508737564087,0.6790812015533447
